


============================================================================
============================================================================
TUNING GEO REAL2 O VO
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:   16895  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  4,50  -->  NFE:   16943  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   17646  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 = 10,00;   tau =  3,00  -->  NFE:   17788  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 = 10,00;   tau =  4,00  -->  NFE:   17851  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:   17946  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 = 10,00;   tau =  3,50  -->  NFE:   17978  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 = 10,00;   tau =  4,50  -->  NFE:   18118  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:   18126  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:   18376  -->  fx: 9,827041321672850E-04  -->  sd:5,382492205415600E-03
P =  5;   s =  4;   std1 =  0,50;   tau =  2,50  -->  NFE:   18541  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:   19160  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:   19376  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:   19750  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:   20020  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   20150  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  2,50  -->  NFE:   20268  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:   20576  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:   21240  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 = 10,00;   tau =  2,50  -->  NFE:   21401  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 = 10,00;   tau =  4,00  -->  NFE:   21438  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   21495  -->  fx: 3,310873838054580E-09  -->  sd:1,813440286156200E-08
P =  5;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   21671  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  5,00  -->  NFE:   21818  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  0,50;   tau =  0,50  -->  NFE:   22206  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   23195  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  3,00  -->  NFE:   23810  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  4,00  -->  NFE:   23815  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:   24063  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  1,50  -->  NFE:   24096  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   24860  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 = 10,00;   tau =  3,50  -->  NFE:   25265  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 = 10,00;   tau =  2,00  -->  NFE:   26293  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  3,50  -->  NFE:   26320  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  4;   std1 =  1,00;   tau =  1,50  -->  NFE:   26523  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 = 10,00;   tau =  2,50  -->  NFE:   26720  -->  fx: 4,106996969847660E-04  -->  sd:2,249494883990930E-03
P = 10;   s =  4;   std1 =  1,00;   tau =  1,00  -->  NFE:   26900  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  1,00  -->  NFE:   27760  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  4;   std1 =  1,00;   tau =  2,00  -->  NFE:   28180  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   28935  -->  fx: 1,067034131983090E-03  -->  sd:4,174416630909740E-03
P = 10;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   29136  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   29361  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   30213  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:   30870  -->  fx: 9,012332676260410E-04  -->  sd:4,936257902528730E-03
P =  5;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   31521  -->  fx: 1,802805453484700E-03  -->  sd:6,860799026828320E-03
P = 10;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:   31900  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   32300  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:   32620  -->  fx: 1,476382378509550E-03  -->  sd:5,765071054564640E-03
P = 10;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   33136  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  0,50  -->  NFE:   33988  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:   35450  -->  fx: 2,950965307167900E-03  -->  sd:9,095921197187690E-03
P = 10;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:   36630  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   37133  -->  fx: 2,049486912399160E-03  -->  sd:7,806198620424930E-03
P = 10;   s =  4;   std1 =  2,00;   tau =  2,50  -->  NFE:   37733  -->  fx: 2,950230149519400E-03  -->  sd:9,430513501636560E-03
P =  5;   s =  2;   std1 =  0,50;   tau =  3,50  -->  NFE:   38030  -->  fx: 4,342410821382960E-03  -->  sd:1,159391984107690E-02
P =  5;   s =  4;   std1 =  1,00;   tau =  4,00  -->  NFE:   38350  -->  fx: 1,476749697312030E-03  -->  sd:5,765989074603030E-03
P =  5;   s =  4;   std1 =  0,50;   tau =  3,00  -->  NFE:   38456  -->  fx: 6,195977038806850E-07  -->  sd:3,393676389938570E-06
P = 10;   s =  1;   std1 =  2,00;   tau =  0,50  -->  NFE:   38923  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  4;   std1 =  2,00;   tau =  2,00  -->  NFE:   39003  -->  fx: 5,745370641281740E-04  -->  sd:3,146869101457930E-03
P = 10;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:   39163  -->  fx: 1,792546703664280E-10  -->  sd:9,818182649784550E-10
P =  5;   s =  4;   std1 =  2,00;   tau =  4,50  -->  NFE:   39761  -->  fx: 4,505919177510390E-03  -->  sd:1,204013659724410E-02
P = 10;   s =  4;   std1 =  1,00;   tau =  0,50  -->  NFE:   40876  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:   41283  -->  fx: 4,426571367298080E-03  -->  sd:1,042023418808380E-02
P = 10;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:   43113  -->  fx: 4,262575325450380E-03  -->  sd:9,106263412390760E-03
P = 10;   s =  4;   std1 =  0,50;   tau =  1,00  -->  NFE:   43563  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:   43603  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 = 10,00;   tau =  3,00  -->  NFE:   44043  -->  fx: 3,606075509874870E-03  -->  sd:1,050029394588670E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  4,50  -->  NFE:   44338  -->  fx: 2,378809135385300E-03  -->  sd:6,572969876635320E-03
P = 10;   s =  4;   std1 =  0,50;   tau =  1,50  -->  NFE:   44470  -->  fx: 6,559244892765090E-04  -->  sd:3,592646387967990E-03
P = 10;   s =  4;   std1 = 10,00;   tau =  2,00  -->  NFE:   46203  -->  fx: 3,862447944570800E-04  -->  sd:2,115549866430890E-03
P =  5;   s =  1;   std1 =  0,50;   tau =  4,50  -->  NFE:   46246  -->  fx: 6,148379657429800E-03  -->  sd:1,229413176276690E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   46916  -->  fx: 6,720061905876020E-03  -->  sd:1,292630934212860E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   47276  -->  fx: 2,786475069616430E-03  -->  sd:8,655647011813040E-03
P = 10;   s =  4;   std1 =  1,00;   tau =  2,50  -->  NFE:   49216  -->  fx: 4,919805879640100E-03  -->  sd:1,035063705491150E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:   51806  -->  fx: 1,430824635983880E-03  -->  sd:5,715135045188230E-03
P =  5;   s =  2;   std1 =  0,50;   tau =  4,00  -->  NFE:   52325  -->  fx: 3,201345370569220E-03  -->  sd:6,938401729643360E-03
P =  5;   s =  2;   std1 =  2,00;   tau =  5,00  -->  NFE:   52786  -->  fx: 9,913490900864500E-03  -->  sd:1,797384657214060E-02
P = 10;   s =  2;   std1 =  0,50;   tau =  0,50  -->  NFE:   53220  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:   53426  -->  fx: 1,081879682381340E-02  -->  sd:1,846113302217760E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  2,50  -->  NFE:   53770  -->  fx: 1,229070914211740E-03  -->  sd:6,731898644871530E-03
P = 10;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:   54290  -->  fx: 4,918818902574710E-03  -->  sd:1,137075577618530E-02
P = 10;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:   55880  -->  fx: 8,359345047140600E-03  -->  sd:1,416436403511800E-02
P =  5;   s =  4;   std1 =  0,50;   tau =  3,50  -->  NFE:   56063  -->  fx: 5,819484358630640E-03  -->  sd:1,164778085939750E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  3,50  -->  NFE:   56966  -->  fx: 8,854862264953850E-03  -->  sd:1,362682575183210E-02
P = 10;   s =  4;   std1 =  1,00;   tau =  3,00  -->  NFE:   57930  -->  fx: 9,182217035997390E-03  -->  sd:1,312070563704930E-02
P = 10;   s =  4;   std1 =  0,50;   tau =  2,00  -->  NFE:   60770  -->  fx: 3,444204118710910E-03  -->  sd:9,149490880675000E-03
P =  5;   s =  4;   std1 =  2,00;   tau =  5,00  -->  NFE:   60995  -->  fx: 8,280569614933530E-03  -->  sd:1,282498550041780E-02
P = 10;   s =  4;   std1 =  2,00;   tau =  0,50  -->  NFE:   61896  -->  fx: 7,642035152836490E-15  -->  sd:4,185715038455990E-14
P =  5;   s =  4;   std1 =  1,00;   tau =  4,50  -->  NFE:   62238  -->  fx: 7,620071438948590E-03  -->  sd:1,496244188186300E-02
P = 10;   s =  4;   std1 =  0,50;   tau =  0,50  -->  NFE:   63270  -->  fx: 3,700743415417190E-18  -->  sd:2,026980648162710E-17
P = 10;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:   63450  -->  fx: 1,754237202193970E-02  -->  sd:1,943059755168040E-02
P =  5;   s =  4;   std1 = 10,00;   tau =  5,00  -->  NFE:   64195  -->  fx: 5,346411174237180E-03  -->  sd:9,918611738910430E-03
P =  5;   s =  2;   std1 =  0,50;   tau =  4,50  -->  NFE:   65273  -->  fx: 1,286831267506930E-02  -->  sd:1,580626037726730E-02
P = 10;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:   66126  -->  fx: 9,671851377819070E-03  -->  sd:1,412257090853840E-02
P = 10;   s =  4;   std1 =  2,00;   tau =  3,00  -->  NFE:   66833  -->  fx: 8,361635619458560E-03  -->  sd:1,431464799393440E-02
P =  5;   s =  4;   std1 =  0,50;   tau =  4,00  -->  NFE:   67058  -->  fx: 8,608591266966870E-03  -->  sd:1,338220672046660E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  3,00  -->  NFE:   67403  -->  fx: 9,181890178741620E-03  -->  sd:1,338683067583460E-02
P =  5;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   67991  -->  fx: 1,352659859859470E-02  -->  sd:1,407894334231600E-02
P = 10;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   69383  -->  fx: 1,435018863815960E-02  -->  sd:1,612056735207800E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:   70633  -->  fx: 1,385253576563390E-02  -->  sd:1,825398214591680E-02
P =  5;   s =  1;   std1 = 10,00;   tau =  3,00  -->  NFE:   71086  -->  fx: 3,490648107642290E-02  -->  sd:4,126677878939540E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:   71383  -->  fx: 2,213826571502320E-02  -->  sd:2,391821430870620E-02
P = 10;   s =  4;   std1 =  2,00;   tau =  3,50  -->  NFE:   71743  -->  fx: 1,524652189549030E-02  -->  sd:1,588342675919390E-02
P = 10;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:   72053  -->  fx: 1,483565575260010E-02  -->  sd:1,511816778349570E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  4,00  -->  NFE:   72633  -->  fx: 1,353083482924410E-02  -->  sd:1,639471155492840E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  4,00  -->  NFE:   72896  -->  fx: 2,066052959099380E-02  -->  sd:2,166462224003590E-02
P = 10;   s =  4;   std1 = 10,00;   tau =  3,50  -->  NFE:   74970  -->  fx: 1,738131614138680E-02  -->  sd:1,984230132629780E-02
P =  5;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:   75450  -->  fx: 1,622599146074980E-02  -->  sd:1,805751828144050E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   76520  -->  fx: 1,811601298309370E-02  -->  sd:1,434262632382630E-02
P =  5;   s =  4;   std1 =  0,50;   tau =  4,50  -->  NFE:   77648  -->  fx: 1,688963948754380E-02  -->  sd:1,387272296840160E-02
P = 10;   s =  1;   std1 =  0,50;   tau =  5,00  -->  NFE:   77880  -->  fx: 3,360079162908460E-02  -->  sd:2,712276949797320E-02
P =  5;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   78195  -->  fx: 2,500248640718290E-02  -->  sd:2,927433655688030E-02
P = 10;   s =  2;   std1 = 10,00;   tau =  5,00  -->  NFE:   78420  -->  fx: 2,639944032223790E-02  -->  sd:2,259697432777950E-02
P =  5;   s =  4;   std1 =  1,00;   tau =  5,00  -->  NFE:   78545  -->  fx: 1,623273682355410E-02  -->  sd:1,736765919908480E-02
P = 10;   s =  4;   std1 =  1,00;   tau =  3,50  -->  NFE:   78640  -->  fx: 2,016835969546980E-02  -->  sd:1,672900831527700E-02
P = 10;   s =  1;   std1 = 10,00;   tau =  4,50  -->  NFE:   78643  -->  fx: 3,204838231283190E-02  -->  sd:2,992269424269420E-02
